ID,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,How Dismissed,Opposition,Ground,Start Date,ODI ID
M367,4,11,10,1,0,40,2,caught,2,c M E K Hussey b B Lee,v Australia,Kuala Lumpur,22 Sep 2006,ODI # 2421
M368,35,87,41,5,0,85.36,2,lbw,2,lbw b S J Harmison,v England,Jaipur,15 Oct 2006,ODI # 2429
M369,29,81,45,4,0,64.44,2,bowled,1,b I D R Bradshaw,v West Indies,Ahmedabad,26 Oct 2006,ODI # 2437
M370,10,46,26,2,0,38.46,2,caught,1,c †A C Gilchrist b G D McGrath,v Australia,Mohali,29 Oct 2006,ODI # 2440
M371,35,79,51,5,0,68.62,2,bowled,2,b A Nel,v South Africa,Durban,22 Nov 2006,ODI # 2447
M372,2,20,9,0,0,22.22,2,caught,2,c L L Bosman b S M Pollock,v South Africa,Cape Town,26 Nov 2006,ODI # 2449
M373,1,4,3,0,0,33.33,3,caught,2,c †M V Boucher b S M Pollock,v South Africa,Port Elizabeth,29 Nov 2006,ODI # 2452
M374,55,134,97,8,0,56.7,2,caught,1,c A B de Villiers b J M Kemp,v South Africa,Centurion,3 Dec 2006,ODI # 2458
M375,31,54,38,3,0,81.57,3,lbw,1,lbw b C H Gayle,v West Indies,Nagpur,21 Jan 2007,ODI # 2480
M376,0,6,6,0,0,0,4,caught,1,c D S Smith b D B Powell,v West Indies,Cuttack,24 Jan 2007,ODI # 2485
M377,60,112,66,2,0,90.9,4,caught,1,c R S Morton b D J J Bravo,v West Indies,Chennai,27 Jan 2007,ODI # 2487
M378,100*,110,76,10,1,131.57,4,not out,1,not out,v West Indies,Vadodara,31 Jan 2007,ODI # 2493
M379,TDNB,-,-,-,-,-,-,-,-,did not bat,v Sri Lanka,Kolkata,8 Feb 2007,ODI # 2514
M380,54,94,61,9,0,88.52,4,stumped,2,st K C Sangakkara b C M Bandara,v Sri Lanka,Rajkot,11 Feb 2007,ODI # 2520
M381,1,13,8,0,0,12.5,3,bowled,2,b K M D N Kulasekara,v Sri Lanka,Margao,14 Feb 2007,ODI # 2522
M382,7,40,26,1,0,26.92,4,caught,1,c †Mushfiqur Rahim b Abdur Razzak,v Bangladesh,Port of Spain,17 Mar 2007,ODI # 2538
M383,57*,46,29,2,4,196.55,6,not out,1,not out,v Bermuda,Port of Spain,19 Mar 2007,ODI # 2542
M384,0,5,3,0,0,0,4,bowled,2,b C R D Fernando,v Sri Lanka,Port of Spain,23 Mar 2007,ODI # 2550
M385,4,4,3,1,0,133.33,2,bowled,2,b R K Whelan,v Ireland,Belfast,23 Jun 2007,ODI # 2590
M386,99,199,143,12,0,69.23,2,run out,1,run out,v South Africa,Belfast,26 Jun 2007,ODI # 2592
M387,93,140,106,13,2,87.73,2,bowled,2,b T Tshabalala,v South Africa,Belfast,29 Jun 2007,ODI # 2593
M388,8,10,8,2,0,100,2,caught,2,c †M V Boucher b M Ntini,v South Africa,Belfast,1 Jul 2007,ODI # 2595
M389,17,52,33,1,0,51.51,2,caught,2,c R S Bopara b J M Anderson,v England,Southampton,21 Aug 2007,ODI # 2611
